"","age","marital","education","occupation","default","housing","contact","quarter","day","duration","campaign","pdays","previous","poutcome","y"
"1",56,"married",0,0,"no","no","telephone",0,1,261,1,999,0,"nonexistent","no"
"2",57,"married",1,0,"unknown","no","telephone",0,1,149,1,999,0,"nonexistent","no"
"3",37,"married",1,0,"no","yes","telephone",0,1,226,1,999,0,"nonexistent","no"
"4",40,"married",0,1,"no","no","telephone",0,1,151,1,999,0,"nonexistent","no"
"5",56,"married",1,0,"no","no","telephone",0,1,307,1,999,0,"nonexistent","no"
"6",45,"married",0,0,"unknown","no","telephone",0,1,198,1,999,0,"nonexistent","no"
"7",59,"married",2,1,"no","no","telephone",0,1,139,1,999,0,"nonexistent","no"
"8",41,"married",NA,0,"unknown","no","telephone",0,1,217,1,999,0,"nonexistent","no"
"9",24,"single",2,1,"no","yes","telephone",0,1,380,1,999,0,"nonexistent","no"
"10",25,"single",1,0,"no","yes","telephone",0,1,50,1,999,0,"nonexistent","no"
"11",41,"married",NA,0,"unknown","no","telephone",0,1,55,1,999,0,"nonexistent","no"
"12",25,"single",1,0,"no","yes","telephone",0,1,222,1,999,0,"nonexistent","no"
"13",29,"single",1,0,"no","no","telephone",0,1,137,1,999,0,"nonexistent","no"
"14",57,"divorced",0,0,"no","yes","telephone",0,1,293,1,999,0,"nonexistent","no"
"15",35,"married",0,0,"no","yes","telephone",0,1,146,1,999,0,"nonexistent","no"
"16",54,"married",0,2,"unknown","yes","telephone",0,1,174,1,999,0,"nonexistent","no"
"17",35,"married",0,0,"no","yes","telephone",0,1,312,1,999,0,"nonexistent","no"
"18",46,"married",0,0,"unknown","yes","telephone",0,1,440,1,999,0,"nonexistent","no"
"19",50,"married",0,0,"no","yes","telephone",0,1,353,1,999,0,"nonexistent","no"
"20",39,"single",0,1,"unknown","no","telephone",0,1,195,1,999,0,"nonexistent","no"
"21",30,"married",1,2,"no","no","telephone",0,1,38,1,999,0,"nonexistent","no"
"22",55,"married",0,0,"unknown","yes","telephone",0,1,262,1,999,0,"nonexistent","no"
"23",55,"single",1,2,"no","yes","telephone",0,1,342,1,999,0,"nonexistent","no"
"24",41,"single",1,1,"no","yes","telephone",0,1,181,1,999,0,"nonexistent","no"
"25",37,"married",1,1,"no","yes","telephone",0,1,172,1,999,0,"nonexistent","no"
